Comuna_Establecimiento;LATITUD;LONGITUD;Cuenta de NOM_ESTAB;Matriculas
CERRILLOS_ESCUELA DE PARV. ICHUAC;-33.502647;-70.72668;108;108
CERRILLOS_ESCUELA DE PARVULOS OESTE;-33.515565;-70.7081;43;43
CERRILLOS_ESCUELA DE PARVULOS Y ESPECIAL MANITOS CREATI;-33.506466;-70.70317799;75;75
CERRILLOS_ESCUELA ESP. DIVINO MAESTRO DE CERRILLOS;-33.496162;-70.72793;107;107
CERRILLOS_ESCUELA ESP. EL SEMBRADOR DE CERRILLOS;-33.493546;-70.72551;193;193
CERRILLOS_ESCUELA ESPEC.STA. TERESA DE AVILA;-33.489876;-70.724884;150;150
CERRILLOS_ESCUELA ESPECIAL DE LENGUAJE N° 2235, ANTÚ KÚYEN;-33.51470469;-70.70448861;47;47
CERRILLOS_ESCUELA ESPECIAL DE LENGUAJE SAN GABRIEL;-33.51953;-70.715385;60;60
CERRILLOS_ESCUELA ESPECIAL PARTICULAR SOR TERESA;-33.507526;-70.72681;67;67
CERRILLOS_ESCUELA ESTRELLA REINA DE CHILE;-33.49982751;-70.72539113;67;67
CERRILLOS_ESCUELA J.PRIETO VIAL;-33.50924638;-70.73827342;66;66
CERRILLOS_ESCUELA LOTHAR KOMMER BRUGER;-33.50690488;-70.73412556;45;45
CERRILLOS_ESCUELA PARTICULAR AMOR DE DIOS;-33.47936438;-70.68673501;85;85
CERRILLOS_ESCUELA SANTA ADELA;-33.50934752;-70.71648165;70;70
CERRILLOS_JOSE BERNALES;-33.506289;-70.704828;46;46
CERRILLOS_LAS TORRES;-33.499668;-70.731822;88;88
CERRILLOS_LICEO POLIVALENTE DR. LUIS VARGAS SALCEDO;-33.49895871;-70.73097771;61;61
CERRILLOS_MI REFUGIO;-33.48997999;-70.7247771;161;161
CERRILLOS_NEWEN Y ALEGRÍA;-33.480448;-70.718082;47;47
CERRILLOS_NICANOR PARRA;-33.509682;-70.705929;47;47
CERRILLOS_ORESTE PLATH;-33.489381;-70.721805;98;98
CERRILLOS_PEUMAYEN;-33.479024;-70.722924;133;133
CERRILLOS_PINCELADAS DE AMOR;-33.511926;-70.70211;43;43
CERRILLOS_RAYITO DE SOL;-33.50863001;-70.73815001;94;94
CERRILLOS_RIO MAGDALENA;-33.507053;-70.733376;96;96
CERRILLOS_VILLA MEXICO;-33.50905;-70.7375;55;55
CERRO NAVIA_APOLO XI;-33.418214;-70.72641;70;70
CERRO NAVIA_BURBUJITAS;-33.42025414;-70.74524015;187;187
CERRO NAVIA_CENCRECO;-33.41798966;-70.74696051;13;13
CERRO NAVIA_COLEGIO BICENTENARIO SAN DAMIAN DE MOLOKAI;-33.43007895;-70.73796488;140;140
CERRO NAVIA_COLEGIO CREE CERRO NAVIA;-33.4228791;-70.7569154;167;167
CERRO NAVIA_COLEGIO CRISTIAN AND CAREN SCHOOL;-33.42161093;-70.71961688;29;29
CERRO NAVIA_COLEGIO NEPTUNO;-33.43533682;-70.72778904;81;81
CERRO NAVIA_COLEGIO POLIV. SAINT ORLAND N 3;-33.41660995;-70.7576067;218;218
CERRO NAVIA_COLEGIO SAN FRANCISCO JAVIER;-33.42134178;-70.72667173;146;146
CERRO NAVIA_COMPLEJO EDUCACIONAL CERRO NAVIA;-33.41412712;-70.7248779;20;20
